TITLE="DIR08_SCB_ER_E_WD280.dat"
VARIABLES= "Density" "Radius" "Height" "0.1053" "0.356" "0.6617" "1.3325" 
ZONE T="3D Data" I=11 J=8 K=3 F=POINT
2.50000000e+000 2.18750000e+000 0.00000000e+000 8.48054339e-010 8.10721009e-008 2.68460307e-007 6.62933835e-007 
2.50000000e+000 6.56250000e+000 0.00000000e+000 2.99604900e-009 1.42884600e-007 3.88236666e-007 8.36309633e-007 
2.50000000e+000 1.09375000e+001 0.00000000e+000 1.81999082e-008 3.68539711e-007 7.60844156e-007 1.32863854e-006 
2.50000000e+000 1.53125000e+001 0.00000000e+000 1.25321294e-007 1.12745855e-006 1.78791297e-006 2.51034252e-006 
2.50000000e+000 1.96875000e+001 0.00000000e+000 1.01700321e-006 4.01738456e-006 4.85853283e-006 5.41168603e-006 
2.50000000e+000 2.40625000e+001 0.00000000e+000 1.03543611e-005 1.72057705e-005 1.54747070e-005 1.32973532e-005 
2.50000000e+000 2.84375000e+001 0.00000000e+000 3.21793624e-004 1.36978483e-004 7.91773272e-005 4.64859024e-005 
2.50000000e+000 3.28125000e+001 0.00000000e+000 8.94731039e-003 6.31089939e-004 2.36527876e-004 1.03237343e-004 
0.00000000e+000 2.18750000e+000 1.00000000e+001 1.15490479e-004 7.90505616e-005 4.97908757e-005 3.03533712e-005 
0.00000000e+000 6.56250000e+000 1.00000000e+001 1.16547172e-004 7.97373072e-005 5.02727302e-005 3.07911439e-005 
0.00000000e+000 1.09375000e+001 1.00000000e+001 1.21048469e-004 8.26880828e-005 5.23520891e-005 3.23542683e-005 
0.00000000e+000 1.53125000e+001 1.00000000e+001 1.32674639e-004 9.02977593e-005 5.74054965e-005 3.56865968e-005 
0.00000000e+000 1.96875000e+001 1.00000000e+001 1.50857623e-004 1.02298275e-004 6.51005530e-005 4.05180428e-005 
0.00000000e+000 2.40625000e+001 1.00000000e+001 1.73079755e-004 1.16984192e-004 7.44457435e-005 4.63097957e-005 
0.00000000e+000 2.84375000e+001 1.00000000e+001 1.94311243e-004 1.30986581e-004 8.33145432e-005 5.17926185e-005 
0.00000000e+000 3.28125000e+001 1.00000000e+001 2.14851187e-004 1.44657214e-004 9.19619188e-005 5.71379028e-005 
2.50000000e-001 2.18750000e+000 1.00000000e+001 3.35960879e-005 3.90804698e-005 2.93283066e-005 2.06920376e-005 
2.50000000e-001 6.56250000e+000 1.00000000e+001 3.52995606e-005 4.01747544e-005 3.00068755e-005 2.11800171e-005 
